race,race_start,driver,t10,t20,outlier
Abu Dhabi,00:58:20.522,ALB,1.484,1.732,
Abu Dhabi,00:58:20.522,ALO,1.162,1.486,
Abu Dhabi,00:58:20.522,ANT,1.471,1.707,
Abu Dhabi,00:58:20.522,BEA,1.511,1.818,
Abu Dhabi,00:58:20.522,COL,1.337,1.593,
Abu Dhabi,00:58:20.522,DOO,1.265,1.561,
Abu Dhabi,00:58:20.522,GAS,1.471,1.707,
Abu Dhabi,00:58:20.522,HAD,1.306,1.660,
Abu Dhabi,00:58:20.522,HAM,1.366,1.629,
Abu Dhabi,00:58:20.522,HUL,1.329,1.565,
Abu Dhabi,00:58:20.522,LAW,1.379,1.666,
Abu Dhabi,00:58:20.522,LEC,1.337,1.593,
Abu Dhabi,00:58:20.522,NOR,1.340,1.603,
Abu Dhabi,00:58:20.522,OCO,1.324,1.621,
Abu Dhabi,00:58:20.522,PIA,1.370,1.641,
Abu Dhabi,00:58:20.522,RUS,1.457,1.774,
Abu Dhabi,00:58:20.522,SAI,1.564,1.892,
Abu Dhabi,00:58:20.522,STR,1.310,1.558,
Abu Dhabi,00:58:20.522,TSU,1.393,1.656,
Abu Dhabi,00:58:20.522,VER,1.445,1.708,
Australian,01:11:00.355,ALB,1.715,2.387,
Australian,01:11:00.355,ALO,1.492,2.058,
Australian,01:11:00.355,ANT,1.587,2.177,
Australian,01:11:00.355,BEA,1.587,2.282,
Australian,01:11:00.355,DOO,1.492,2.164,
Australian,01:11:00.355,GAS,1.492,2.058,
Australian,01:11:00.355,HAD,10.029,10.320,異常
Australian,01:11:00.355,HAM,1.492,2.069,
Australian,01:11:00.355,HUL,1.536,2.154,
Australian,01:11:00.355,LAW,9.790,10.091,異常
Australian,01:11:00.355,LEC,1.587,2.161,
Australian,01:11:00.355,NOR,1.420,1.954,
Australian,01:11:00.355,OCO,1.587,2.213,
Australian,01:11:00.355,PIA,1.454,2.006,
Australian,01:11:00.355,RUS,1.587,2.194,
Australian,01:11:00.355,SAI,1.646,2.250,
Australian,01:11:00.355,STR,1.536,2.123,
Australian,01:11:00.355,VER,1.587,2.177,
Austrian,01:11:08.287,ALB,1.595,1.868,
Austrian,01:11:08.287,ALO,1.474,1.780,
Austrian,01:11:08.287,ANT,1.618,1.915,
Austrian,01:11:08.287,BEA,1.552,1.841,
Austrian,01:11:08.287,COL,1.588,1.854,
Austrian,01:11:08.287,DOO,1.627,1.933,
Austrian,01:11:08.287,GAS,1.465,1.754,
Austrian,01:11:08.287,HAD,1.475,1.860,
Austrian,01:11:08.287,HAM,1.559,1.856,
Austrian,01:11:08.287,HUL,1.499,1.796,
Austrian,01:11:08.287,LAW,1.552,1.937,
Austrian,01:11:08.287,LEC,1.451,1.776,
Austrian,01:11:08.287,NOR,1.443,1.749,
Austrian,01:11:08.287,OCO,1.523,1.812,
Austrian,01:11:08.287,PIA,1.413,1.719,
Austrian,01:11:08.287,RUS,1.443,1.749,
Austrian,01:11:08.287,STR,1.413,1.719,
Austrian,01:11:08.287,TSU,1.499,1.796,
Austrian,01:11:08.287,VER,1.588,1.854,
Azerbaijan,00:57:27.534,ALB,1.620,1.924,
Azerbaijan,00:57:27.534,ALO,1.320,1.860,
Azerbaijan,00:57:27.534,ANT,1.379,1.893,
Azerbaijan,00:57:27.534,BEA,1.526,1.914,
Azerbaijan,00:57:27.534,COL,1.620,1.967,
Azerbaijan,00:57:27.534,DOO,1.379,1.882,
Azerbaijan,00:57:27.534,GAS,1.820,2.036,
Azerbaijan,00:57:27.534,HAD,1.379,1.878,
Azerbaijan,00:57:27.534,HAM,1.447,1.902,
Azerbaijan,00:57:27.534,HUL,1.268,1.834,
Azerbaijan,00:57:27.534,LAW,1.320,1.854,
Azerbaijan,00:57:27.534,LEC,1.268,1.825,
Azerbaijan,00:57:27.534,NOR,1.268,1.818,
Azerbaijan,00:57:27.534,OCO,1.526,1.931,
Azerbaijan,00:57:27.534,PIA,3.301,3.811,異常
Azerbaijan,00:57:27.534,RUS,1.320,1.841,
Azerbaijan,00:57:27.534,SAI,1.772,1.964,
Azerbaijan,00:57:27.534,STR,1.733,1.964,
Azerbaijan,00:57:27.534,TSU,1.379,1.858,
Azerbaijan,00:57:27.534,VER,1.320,1.844,
Bahrain,00:55:34.907,ALB,1.229,1.586,
Bahrain,00:55:34.907,ALO,1.065,1.512,
Bahrain,00:55:34.907,ANT,1.065,1.536,
Bahrain,00:55:34.907,BEA,1.305,1.675,
