2025-10-08 22:31:36 | INFO | f1.gui.main | F1T GUI 控制台初始化完成 - 日誌系統已啟用 (INFO level, 僅檔案輸出)
2025-10-08 22:31:36 | INFO | f1.console | [OK] [MODULE_FACTORY] Speed analysis module registered
2025-10-08 22:31:36 | INFO | f1.gui.main | F1T GUI 控制台初始化完成 - 日誌系統已啟用 (INFO level, 僅檔案輸出)
2025-10-08 22:31:37 | INFO | f1.console | [OK] [MODULE_FACTORY] RPM analysis module registered
2025-10-08 22:31:37 | INFO | f1.console | [OK] [MODULE_FACTORY] Throttle analysis module registered
2025-10-08 22:31:37 | INFO | f1.console | [ANALYSIS_MANAGER] Lap analysis module manager initialized
2025-10-08 22:31:37 | INFO | f1.console | [MAIN] 🚀 啟動 F1T 專業賽車分析工作站...
2025-10-08 22:31:37 | INFO | f1.console | [INIT] 🚀 開始初始化 F1 TelemetryStation Pro 主視窗...
2025-10-08 22:31:37 | INFO | f1.console | [INIT] ✅ 視窗標題已設定
2025-10-08 22:31:37 | INFO | f1.console | [INIT] ✅ 分析追蹤屬性已初始化
2025-10-08 22:31:37 | INFO | f1.console | [INIT] ✅ 子視窗追蹤列表已初始化
2025-10-08 22:31:37 | INFO | f1.console | [INIT] ✅ MDI區域引用已初始化
2025-10-08 22:31:37 | INFO | f1.console | [INIT] ✅ 工作區儲存紀錄已初始化
2025-10-08 22:31:37 | INFO | f1.console | [INIT] ✅ 遙測分析狀態追蹤已初始化
2025-10-08 22:31:37 | INFO | f1.console | [SEASON] 使用預設公開 API 網域 https://api.f1telemetrystationpro.org
2025-10-08 22:31:37 | INFO | f1.console | [INIT] 🔧 開始初始化用戶界面...
2025-10-08 22:31:37 | INFO | f1.console | [INIT] 🔧 開始創建專業工具欄...
2025-10-08 22:31:37 | INFO | f1.console | [LAP_CONTROL] 🏗️ 創建遙測分析控件...
2025-10-08 22:31:37 | INFO | f1.console | [LAP_CONTROL] ✅ 遙測分析控件創建完成（手動更新模式已啟用）
2025-10-08 22:31:39 | INFO | f1.console | [INIT] ✅ 專業工具欄創建完成
2025-10-08 22:31:39 | INFO | f1.console | [TAB_DEBUG] TabButtonsContainer 已隱藏: True
2025-10-08 22:31:39 | INFO | f1.console | [TOOLBAR_STATUS] 沒有活動的分析模組，已清除工具欄狀態
2025-10-08 22:31:39 | INFO | f1.console | [INIT] 🎨 開始應用樣式...
2025-10-08 22:31:39 | INFO | f1.console | [INIT] 🔗 開始整合連動管理器...
2025-10-08 22:31:39 | INFO | f1.console | [LINKAGE_INTEGRATION] ✅ 全域信號已連接到連動管理器
2025-10-08 22:31:39 | INFO | f1.console | [LINKAGE_INTEGRATION] ✅ 連動管理器整合完成
2025-10-08 22:31:39 | INFO | f1.console | [INIT] [API] Initialising health monitor...
2025-10-08 22:31:39 | INFO | f1.gui.main | [API-URL] 使用預設公開 API 網域 https://api.f1telemetrystationpro.org
2025-10-08 22:31:39 | INFO | f1.console | [INIT] [API] Health monitor active
2025-10-08 22:31:39 | INFO | f1.console | [INIT] ✅ 連動管理器整合完成
2025-10-08 22:31:39 | INFO | f1.console | [INIT] ✅ 主視窗初始化完成！
2025-10-08 22:31:39 | INFO | f1.console | [INIT] ⏰ 設置延遲檢查機制 (1秒後執行)...
2025-10-08 22:31:39 | INFO | f1.gui.main | Starting API health check (manual=False, base=https://api.f1telemetrystationpro.org)
2025-10-08 22:31:40 | INFO | f1.console | [TAB_HIDE] ⏰ 延遲檢查機制啟動 - 開始檢查標籤隱藏狀態...
2025-10-08 22:31:40 | INFO | f1.console | [TAB_HIDE] 檢查標籤隱藏狀態...
2025-10-08 22:31:40 | INFO | f1.console | [TAB_HIDE] QTabBar 可見性: False
2025-10-08 22:31:40 | INFO | f1.console | [TAB_HIDE] QTabBar 高度: 0
