2025-10-05 02:40:24 | ERROR | f1.console |    ⚠️  TireAnalysisModule: 測試時發生錯誤 - module 'modules.gui.tire_analysis.tire_analysis_mdi' has no attribute 'TireAnalysisModule'
2025-10-05 02:40:24 | ERROR | f1.console |    ⚠️  LapBoxPlotAnalysisModule: 測試時發生錯誤 - module 'modules.gui.driver_race.lap_box_plot_analysis.lap_box_plot_analysis_mdi' has no attribute 'LapBoxPlotAnalysisModule'
2025-10-05 02:40:24 | ERROR | f1.console | [ERROR] 無法導入基礎模組
2025-10-05 02:40:24 | WARNING | f1.console | [ACCIDENT_API DEBUG] ⚠️  [API-ONLY] CLI 調用已禁用
2025-10-05 02:40:24 | WARNING | f1.console | [TRACK_ANALYSIS] ⚠️  [API-ONLY] CLI 調用已禁用
2025-10-05 02:40:24 | WARNING | f1.console | 
⚠️  [API-ONLY 模式] 系統現在只允許通過 API 獲取數據
2025-10-05 02:40:26 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] ========== API 錯誤回調 ==========
2025-10-05 02:40:26 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] 錯誤訊息: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020F179A6510>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:40:26 | ERROR | f1.console | [ERROR] [[BOXPLOT_DATA]] API 請求失敗: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020F179A6510>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:40:26 | ERROR | f1.console | [狀態] API 請求失敗，改用本地資料
2025-10-05 02:40:26 | ERROR | f1.console |    - 如果 API 請求失敗,檢查 refactored_api.py 是否運行
2025-10-05 02:40:26 | ERROR | f1.console |    - 如果本地 JSON 回退失敗,檢查 json/ 目錄中是否存在檔案:
2025-10-05 02:40:27 | WARNING | f1.console | [ANALYSIS_MANAGER] ⚠️ Not a lap analysis module, skipping: laptime_boxplot_analysis_2263844560848
2025-10-05 02:40:29 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] ========== API 錯誤回調 ==========
2025-10-05 02:40:29 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] 錯誤訊息: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020F17A24F50>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:40:29 | ERROR | f1.console | [ERROR] [[BOXPLOT_DATA]] API 請求失敗: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020F17A24F50>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:40:34 | ERROR | f1.console | 🎉 導入錯誤已修復!
2025-10-05 02:40:34 | ERROR | f1.console |    ℹ️  之前會因為 'NameError: name "tr" is not defined' 而失敗
2025-10-05 02:40:34 | ERROR | f1.console | ✅ 不再出現 'NameError: name "tr" is not defined' 錯誤
2025-10-05 02:40:34 | WARNING | f1.console | ⚠️  缺少模組: ['speed_diff', 'distance_diff']
2025-10-05 02:40:41 | ERROR | f1.console | ❌ 測試失敗: Can't instantiate abstract class UniversalDataLoader without an implementation for abstract methods '_build_filename_patterns', '_generate_data_via_cli', '_process_data', '_validate_data_format', '_validate_load_parameters'
2025-10-05 02:40:41 | ERROR | f1.console |    ⚠️  RainAnalysisModule: 測試時發生錯誤 - module 'modules.gui.rain_analysis.rain_analysis_mdi' has no attribute 'RainAnalysisModule'
2025-10-05 02:40:41 | ERROR | f1.console |    ⚠️  TrackAnalysisModule: 測試時發生錯誤 - module 'modules.gui.track_analysis.track_analysis_mdi' has no attribute 'TrackAnalysisModule'
2025-10-05 02:40:41 | ERROR | f1.console |    ⚠️  TireAnalysisModule: 測試時發生錯誤 - module 'modules.gui.tire_analysis.tire_analysis_mdi' has no attribute 'TireAnalysisModule'
2025-10-05 02:40:41 | ERROR | f1.console |    ⚠️  LapBoxPlotAnalysisModule: 測試時發生錯誤 - module 'modules.gui.driver_race.lap_box_plot_analysis.lap_box_plot_analysis_mdi' has no attribute 'LapBoxPlotAnalysisModule'
2025-10-05 02:40:41 | ERROR | f1.console | [ERROR] 無法導入基礎模組
2025-10-05 02:40:41 | WARNING | f1.console | [ACCIDENT_API DEBUG] ⚠️  [API-ONLY] CLI 調用已禁用
2025-10-05 02:40:41 | WARNING | f1.console | [TRACK_ANALYSIS] ⚠️  [API-ONLY] CLI 調用已禁用
2025-10-05 02:40:41 | WARNING | f1.console | 
⚠️  [API-ONLY 模式] 系統現在只允許通過 API 獲取數據
2025-10-05 02:40:43 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] ========== API 錯誤回調 ==========
2025-10-05 02:40:43 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] 錯誤訊息: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028A12792660>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:40:43 | ERROR | f1.console | [ERROR] [[BOXPLOT_DATA]] API 請求失敗: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028A12792660>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:40:43 | ERROR | f1.console | [狀態] API 請求失敗，改用本地資料
2025-10-05 02:40:43 | ERROR | f1.console |    - 如果 API 請求失敗,檢查 refactored_api.py 是否運行
2025-10-05 02:40:43 | ERROR | f1.console |    - 如果本地 JSON 回退失敗,檢查 json/ 目錄中是否存在檔案:
2025-10-05 02:40:43 | WARNING | f1.console | [ANALYSIS_MANAGER] ⚠️ Not a lap analysis module, skipping: laptime_boxplot_analysis_2792039071280
2025-10-05 02:40:45 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] ========== API 錯誤回調 ==========
2025-10-05 02:40:45 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] 錯誤訊息: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028A12805450>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:40:45 | ERROR | f1.console | [ERROR] [[BOXPLOT_DATA]] API 請求失敗: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028A12805450>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:40:51 | ERROR | f1.console | 🎉 導入錯誤已修復!
2025-10-05 02:40:51 | ERROR | f1.console |    ℹ️  之前會因為 'NameError: name "tr" is not defined' 而失敗
2025-10-05 02:40:51 | ERROR | f1.console | ✅ 不再出現 'NameError: name "tr" is not defined' 錯誤
2025-10-05 02:40:51 | WARNING | f1.console | ⚠️  缺少模組: ['speed_diff', 'distance_diff']
2025-10-05 02:41:00 | ERROR | f1.console | ❌ 測試失敗: Can't instantiate abstract class UniversalDataLoader without an implementation for abstract methods '_build_filename_patterns', '_generate_data_via_cli', '_process_data', '_validate_data_format', '_validate_load_parameters'
2025-10-05 02:41:00 | ERROR | f1.console |    ⚠️  RainAnalysisModule: 測試時發生錯誤 - module 'modules.gui.rain_analysis.rain_analysis_mdi' has no attribute 'RainAnalysisModule'
2025-10-05 02:41:00 | ERROR | f1.console |    ⚠️  TrackAnalysisModule: 測試時發生錯誤 - module 'modules.gui.track_analysis.track_analysis_mdi' has no attribute 'TrackAnalysisModule'
2025-10-05 02:41:00 | ERROR | f1.console |    ⚠️  TireAnalysisModule: 測試時發生錯誤 - module 'modules.gui.tire_analysis.tire_analysis_mdi' has no attribute 'TireAnalysisModule'
2025-10-05 02:41:00 | ERROR | f1.console |    ⚠️  LapBoxPlotAnalysisModule: 測試時發生錯誤 - module 'modules.gui.driver_race.lap_box_plot_analysis.lap_box_plot_analysis_mdi' has no attribute 'LapBoxPlotAnalysisModule'
2025-10-05 02:41:00 | ERROR | f1.console | [ERROR] 無法導入基礎模組
2025-10-05 02:41:00 | WARNING | f1.console | [ACCIDENT_API DEBUG] ⚠️  [API-ONLY] CLI 調用已禁用
2025-10-05 02:41:00 | WARNING | f1.console | [TRACK_ANALYSIS] ⚠️  [API-ONLY] CLI 調用已禁用
2025-10-05 02:41:00 | WARNING | f1.console | 
⚠️  [API-ONLY 模式] 系統現在只允許通過 API 獲取數據
2025-10-05 02:41:02 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] ========== API 錯誤回調 ==========
2025-10-05 02:41:02 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] 錯誤訊息: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001411C826900>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:41:02 | ERROR | f1.console | [ERROR] [[BOXPLOT_DATA]] API 請求失敗: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001411C826900>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:41:02 | ERROR | f1.console | [狀態] API 請求失敗，改用本地資料
2025-10-05 02:41:02 | ERROR | f1.console |    - 如果 API 請求失敗,檢查 refactored_api.py 是否運行
2025-10-05 02:41:02 | ERROR | f1.console |    - 如果本地 JSON 回退失敗,檢查 json/ 目錄中是否存在檔案:
2025-10-05 02:41:02 | WARNING | f1.console | [ANALYSIS_MANAGER] ⚠️ Not a lap analysis module, skipping: laptime_boxplot_analysis_1379163274080
2025-10-05 02:41:05 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] ========== API 錯誤回調 ==========
2025-10-05 02:41:05 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] 錯誤訊息: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001411C8AD6D0>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:41:05 | ERROR | f1.console | [ERROR] [[BOXPLOT_DATA]] API 請求失敗: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001411C8AD6D0>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:41:10 | ERROR | f1.console | 🎉 導入錯誤已修復!
2025-10-05 02:41:10 | ERROR | f1.console |    ℹ️  之前會因為 'NameError: name "tr" is not defined' 而失敗
2025-10-05 02:41:10 | ERROR | f1.console | ✅ 不再出現 'NameError: name "tr" is not defined' 錯誤
2025-10-05 02:41:10 | WARNING | f1.console | ⚠️  缺少模組: ['speed_diff', 'distance_diff']
2025-10-05 02:41:12 | ERROR | f1.console | 
❌ 無法連接到 API 伺服器
2025-10-05 02:41:13 | ERROR | f1.console | 
