Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,Distance_Leader,VER_Speed,NOR_Speed
0,1635.0171520632966,-573.1334220048266,1602.9283434384602,-535.7814882515954,49.242853228333026,-0.010761945336131618,0.21487859842859347,0.2256405437647251,NOR,274.1937504,276.7125024
1,1662.0500708581146,-604.3646531496003,1633.0,-571.0,44.239198643901894,9.862777777777776,4.860451873201811,5.002325904575965,VER,275.0,277.4624992
2,1795.0,-760.0,1654.6820997777947,-596.3292435493236,215.5857825551244,28.479603354185492,8.195,20.284603354185492,VER,279.6149567849231,278.0
3,1904.7397233663853,-888.8377886435716,1756.3854270832273,-714.899741402639,228.61198897621247,38.1411111111111,23.750555555555557,14.390555555555544,VER,282.0,280.0
4,1968.0,-963.0,1765.0,-725.0,312.8146416010606,44.16642135322152,25.07399611308504,19.092425240136482,VER,282.0,280.08500096
5,2053.1768950897067,-1062.166308675634,1856.0,-832.0,303.07632307157286,56.9411111111111,39.12574325810877,17.81536785300233,VER,282.0,280.98499968
6,2111.0181934678744,-1128.815454105528,1857.5263620850956,-833.7827204898662,388.97612070990334,76.07444444444442,39.36166666666667,36.71277777777775,VER,287.0,281.0
7,2144.0,-1168.0,1969.0,-963.0,269.5366394388711,82.25188934813644,56.61490053592716,25.63698881220928,VER,287.57749952,284.1711923612603
8,2175.0,-1205.0,2062.0,-1072.0,174.52220489095365,87.07409418791187,71.09608288554927,15.978011302362603,VER,288.02750144,286.8016684356852
9,2311.0,-1364.0,2104.4790029678725,-1122.2941932854058,317.91920233716115,108.05382624891413,77.68166666666667,30.372159582247463,VER,289.97749952,288.0
10,2312.88609418943,-1366.1900935240938,2155.0,-1182.0,242.59845277908917,108.29666666666665,85.5428681741816,22.753798492485046,VER,290.0,288.6125008
11,2455.412467109027,-1531.6256923347792,2186.597993681961,-1218.9380641807413,412.3527299830435,124.51888888888887,90.5261111111111,33.99277777777776,VER,292.0,289.0
12,2491.0,-1573.0,2292.0,-1341.0,305.6550343115585,129.14949990381973,106.44927316240155,22.700226741418177,VER,292.1781256,290.64166613333333
13,2598.5691459207274,-1698.7466467845027,2318.4537508382264,-1371.780968885139,430.5475456745934,150.5633333333333,109.92611111111111,40.63722222222219,VER,293.0,291.0
14,2639.0,-1746.0,2425.3655048981163,-1496.6705806131379,328.3364994471777,158.49380501854034,122.85944444444445,35.63436057409589,VER,293.80833493333336,291.0
15,2713.5062262618176,-1832.813665645821,2471.0,-1550.0,372.54910985234426,170.22999999999996,129.11825893059557,41.11174106940439,VER,295.0,291.69999941818185
16,2789.0,-1921.0,2620.0,-1724.0,259.5573154430443,181.53991485221738,157.021218631412,24.518696220805367,VER,296.14166826666667,294.7909085090909
17,2885.0,-2034.0,2631.0599240551355,-1736.9716276382499,390.78308069663666,196.46457474092762,158.915,37.549574740927625,VER,297.64166613333333,295.0
18,2914.073023343946,-2068.1864497787396,2747.0,-1873.0,256.92634218101324,200.02999999999997,176.80690094319453,23.223099056805438,VER,298.0,296.54999954285717
19,3046.0,-2223.0,2781.036265442548,-1912.68719063233,408.04389505087295,214.70335865224092,182.015,32.688358652240936,VER,298.44250048,297.0
20,3145.521553025909,-2338.9874420041388,2801.0,-1936.0,530.182967391846,233.2522222222222,185.07722678373912,48.17499543848308,VER,299.0,297.2312496
21,3198.0,-2400.0,2898.0,-2050.0,460.9772228646444,244.72833031316998,200.01260589865456,44.71572441451542,VER,300.2843768,298.3562496
22,3289.039403697763,-2506.270824413503,2952.1735399651266,-2113.399907799916,517.5192433805097,260.09666666666664,208.59277777777774,51.503888888888895,VER,302.0,299.0
23,3329.0,-2553.0,3017.0,-2189.0,479.4163117792301,264.87576235349,218.37064365291045,46.50511870057957,VER,302.0,300.4624992
24,3419.14215506893,-2658.474629231789,3043.1258763467895,-2219.4528342524954,578.0383882847985,273.51888888888885,221.97055555555553,51.54833333333332,VER,302.0,301.0
25,3482.0,-2732.0,3150.792166912602,-2344.8897754641384,509.46339872325933,280.0079438623515,235.39277777777778,44.61516608457373,VER,302.76999936,302.0
26,3546.860777984272,-2807.717459631449,3247.0,-2457.0,461.4317096425752,290.4077777777777,248.62025194463575,41.787525833141956,VER,304.0,302.8722218666667
27,3614.0,-2886.0,3336.6498662381796,-2561.6113165234174,426.79165252540986,308.789272518003,265.79277777777776,42.996494740225216,VER,304.90416746666665,304.0
28,3623.9903185040275,-2897.7108283435923,3390.0,-2624.0,360.0959409742794,310.7411111111111,275.71424226220915,35.02686884890193,VER,305.0,304.58499968
29,3711.274754287995,-3000.276520113823,3478.0,-2727.0,359.3009427118795,324.3411111111111,289.3115216411948,35.02958946991629,VER,306.0,305.38499968
30,3818.0,-3126.0,3547.3683760925333,-2808.064287153378,417.52196752037173,339.3447861891334,299.79277777777776,39.552008411355644,VER,306.55,306.0
31,3898.7550985248868,-3221.342515713701,3666.0,-2947.0,359.77597448614034,351.63,318.3451814902402,33.284818509759816,VER,307.0,307.3562496
32,3934.0,-3263.0,3718.5681215874138,-3009.1391615303673,332.9507764593443,356.4048818385923,327.17055555555555,29.23432628303675,VER,307.0,308.0
33,4072.136469403057,-3426.3069744758905,3777.0,-3078.0,456.53399001635165,372.0966666666667,335.49030844729225,36.60635821937444,VER,307.0,308.4041664
34,4099.0,-3458.0,3806.0,-3112.0,453.3927657120259,375.17158086732724,338.92353481737666,36.248046049950574,VER,307.15062757472737,308.5708330666667
35,4235.865838557235,-3618.853473665727,3874.858248875493,-3192.8494578040227,558.3958285464896,392.5444444444445,347.7705555555556,44.773888888888905,VER,308.0,309.0
36,4299.0,-3693.0,4017.0,-3361.0,435.600734618297,402.58326512973935,369.9716248381769,32.61164029156242,VER,308.7312496,309.5863639272727
37,4318.738893407787,-3716.2298994550897,4106.0,-3467.0,327.6787749469959,406.2777777777778,383.76223179445714,22.515545983320692,VER,309.0,309.9500002909091
38,4403.105821347725,-3815.9083926527023,4119.6023297902175,-3483.0625555740503,437.2191452645761,426.94444444444446,385.65944444444443,41.285000000000025,VER,310.0,310.0
39,4444.0,-3864.0,4262.0,-3650.0,280.9270367906941,435.3126243848743,404.4724834701598,30.84014091471454,VER,310.26944426666665,310.49433142774876
40,4591.114649980086,-4036.3785676975485,4365.5553290506705,-3773.043428213603,346.7310239150345,458.0444444444445,423.7569444444444,34.28750000000008,VER,311.0,311.0
41,4601.0,-4048.0,4396.0,-3809.0,314.8745782053546,459.5162755337635,428.6951549187611,30.821120615002428,VER,311.06071405714283,311.3562512
42,4735.0,-4206.0,4461.695190426501,-3886.05803941056,420.78305227494786,480.3178186238993,437.6236111111111,42.69420751278824,VER,311.9178569142857,312.0
43,4746.901731908889,-4219.987218954792,4576.4704147739085,-4019.9059170605938,262.8295288357868,482.3111111111112,451.49027777777775,30.82083333333344,VER,312.0,312.0
44,4859.0,-4351.0,4610.0,-4059.0,383.7512214964273,499.3762047655563,456.43008425191374,42.94612051364254,VER,312.0,312.0
45,4970.459371259379,-4480.769015074609,4658.668130229137,-4115.770183778063,480.0395034067745,510.0444444444445,465.3569444444444,44.68750000000006,VER,312.0,312.0
46,5017.0,-4535.0,4723.0,-4191.0,452.51740298026107,514.9955988884021,478.9674398951991,36.02815899320302,VER,312.2374997333333,312.0
47,5098.686785143471,-4630.738806537016,4787.917112225607,-4267.158858512633,478.29715471753485,530.9111111111112,489.62361111111113,41.28750000000002,VER,313.0,312.0
48,5156.0,-4699.0,4903.0,-4402.0,390.1512527213004,546.388517968151,506.6635637405685,39.72495422758243,VER,313.0,311.5895834666667
49,5211.844987257647,-4765.384814027425,4993.0,-4507.0,338.60868353866306,555.2555555555556,520.4800326595451,34.77552289601044,VER,313.0,311.2562501333333
50,5246.0,-4806.0,5091.481116324887,-4623.305012940018,239.27712742560686,560.297138924446,531.0902777777777,29.206861146668302,VER,313.0,311.0
51,5358.0,-4939.0,5227.0,-4784.0,202.94334184693028,577.6816458710821,544.6195239163652,33.06212195471687,VER,313.0,310.5093752
52,5411.397200157328,-5001.479425727646,5328.56738433833,-4904.075494506901,127.86048727368753,586.6425,558.6458333333333,27.996666666666783,VER,313.0,310.0
53,5549.0,-5165.0,5460.0,-5060.0,137.64446955835166,607.2496246397931,582.4269404210174,24.822684218775635,VER,313.0,309.1343752
54,5551.242327717493,-5167.7572371835495,5484.047001052237,-5088.854234796085,103.63829268859448,607.5091666666667,586.1124999999998,21.396666666666874,VER,313.0,309.0
55,5711.817308586296,-5368.264337957505,5635.0,-5271.0,123.94051128163855,624.731388888889,608.1077023199647,16.623686568924313,VER,310.0,308.28412215547684
56,5722.0,-5381.0,5682.950034379421,-5328.866811488286,65.1365424271688,626.1925963394141,616.8269444444443,9.365651894969801,VER,309.91499904,308.0
57,5780.820516731779,-5455.136462963752,5778.004083218106,-5448.882282666489,6.859086595721999,641.8980555555556,640.7047222222221,1.1933333333334986,VER,309.0,307.0
