Point_Index,HAM_Speed,RUS_Speed,HAM_RPM,RUS_RPM,HAM_Throttle,RUS_Throttle,HAM_Brake,RUS_Brake,HAM_nGear,RUS_nGear,Speed_Gap_kmh,Speed_Leader
0,253.48,253.4500032,10471.78,10498.6500544,100.0,100.0,False,False,7,6,0.029996799999992163,HAM
1,255.0,254.2250048,10536.0,10511.8250816,100.0,100.0,False,False,7,6,0.7749952000000064,HAM
2,257.74999893333336,255.0,10659.749952,10525.0,100.0,100.0,False,False,7,7,2.7499989333333588,HAM
3,259.0,259.0,10716.0,10715.0,100.0,100.0,False,False,7,7,0.0,RUS
4,261.0,259.42857325714283,10774.0,10726.785764571428,100.0,100.0,False,False,7,7,1.5714267428571702,HAM
5,261.74999893333336,262.27143131428573,10808.8749504,10804.964361142856,100.0,100.0,False,False,7,7,-0.5214323809523762,RUS
6,265.0,263.0,10960.0,10825.0,100.0,100.0,False,False,7,7,2.0,HAM
7,266.3124992,266.0,10992.81248,10949.0,100.0,100.0,False,False,7,7,0.31249919999999065,HAM
8,268.0,267.0,11035.0,11002.0,100.0,100.0,False,False,7,7,1.0,HAM
9,269.64,267.6125024,11123.56,11018.843816,100.0,100.0,False,False,7,7,2.027497600000004,HAM
10,270.0,269.0,11143.0,11057.0,100.0,100.0,False,False,7,7,1.0,HAM
11,272.4,269.49000192,11189.8,11078.31508352,100.0,100.0,False,False,7,7,2.90999807999998,HAM
12,274.0,271.0,11221.0,11144.0,100.0,100.0,False,False,7,7,3.0,HAM
13,274.8749994666667,272.1,11266.499972266667,11197.35,100.0,100.0,False,False,7,7,2.7749994666666566,HAM
14,277.0,273.0,11377.0,11241.0,100.0,100.0,False,False,7,7,4.0,HAM
15,277.4642852571429,273.0997250660742,11391.392842971429,11242.221632059409,100.0,100.0,False,False,7,7,4.364560191068676,HAM
16,279.0,276.6454295514613,11439.0,11285.6565120054,100.0,100.0,False,False,7,7,2.354570448538709,HAM
17,279.0624992,277.0,11441.6874656,11290.0,100.0,100.0,False,False,7,7,2.0624991999999907,HAM
18,281.0,278.05,11525.0,11388.7,100.0,100.0,False,False,7,7,2.9499999999999886,HAM
19,281.0,279.0,11525.0,11478.0,100.0,100.0,False,False,7,7,2.0,HAM
20,281.0,279.175,11525.0,11486.05,100.0,100.0,False,False,7,7,1.8249999999999886,HAM
21,281.0,280.675,11525.0,11555.05,100.0,100.0,False,False,7,7,0.32499999999998863,HAM
22,281.0,281.0,11525.0,11570.0,100.0,100.0,False,False,7,7,0.0,RUS
23,281.0,281.73333333333335,11525.0,11596.766666666666,100.0,100.0,False,False,7,7,-0.7333333333333485,RUS
24,281.0,283.0,11525.0,11643.0,100.0,100.0,False,False,7,7,-2.0,RUS
25,281.0,283.62857142857143,11639.083293866666,11648.971428571429,100.0,100.0,False,False,7,7,-2.6285714285714334,RUS
26,281.0,285.0,11673.0,11662.0,100.0,100.0,False,False,7,7,-4.0,RUS
27,283.8124992,284.86,11696.9062432,11660.74,100.0,100.0,False,False,7,7,-1.047500800000023,RUS
28,285.0,284.0,11707.0,11653.0,100.0,100.0,False,False,7,7,1.0,HAM
29,284.47500032,284.0,11649.2500352,11660.849066081892,93.17500416,100.0,False,False,7,7,0.47500031999999237,HAM
30,284.0,284.0,11597.0,11679.0,87.0,100.0,False,False,7,7,0.0,RUS
31,277.6,284.0,11204.2,11642.718696,56.6,100.0,False,False,7,7,-6.399999999999977,RUS
32,268.0,284.0,10615.0,11634.0,11.0,100.0,True,False,7,7,-16.0,RUS
33,263.1250048,284.0,10477.6876352,11570.4374096,8.7656272,78.90622,True,False,7,7,-20.8749952,RUS
34,246.7,284.0,10015.05,11408.0,1.237499999999999,25.0,True,False,7,7,-37.30000000000001,RUS
35,244.0,282.7499968,9939.0,11390.99995648,0.0,18.749984,True,False,7,7,-38.74999680000002,RUS
36,244.0,279.0,10230.0,11340.0,0.0,0.0,True,True,7,7,-35.0,RUS
37,216.7,271.3606930285714,10428.45,11006.088356571428,0.0,0.0,True,True,7,7,-54.660693028571416,RUS
38,192.0,248.0,10608.0,9985.0,0.0,0.0,True,True,7,7,-56.0,RUS
39,190.40278186666666,223.7843504,10596.888917333334,9751.1122624,0.0,0.0,True,True,7,7,-33.381568533333336,RUS
40,175.06944853333334,207.0,10490.222250666666,9589.0,0.0,0.0,True,True,7,7,-31.930551466666657,RUS
41,169.0,205.7624736,10448.0,9591.8875616,0.0,0.0,True,True,6,7,-36.76247359999999,RUS
42,156.18679366752895,174.0,10302.954504316427,9666.0,0.0,0.0,True,True,6,7,-17.813206332471054,RUS
43,145.9931696410869,158.23635316363635,10187.562680337103,9865.672859927272,0.0,0.0,True,True,6,7,-12.243183522549458,RUS
44,144.0,150.0,10165.0,9970.0,0.0,0.0,True,True,3,4,-6.0,RUS
45,138.0,149.59999488,9604.0,9906.9991936,0.0,0.0,True,True,3,4,-11.599994879999997,RUS
46,132.9583352888889,142.0,9499.958373688889,8710.0,0.0,0.0,True,True,3,4,-9.04166471111111,RUS
47,127.0,140.1590882909091,9377.0,8558.022511127272,0.0,0.0,False,True,3,4,-13.159088290909096,RUS
48,126.95000064,134.84090647272728,9367.22512512,8118.977056581818,0.09999872,0.0,False,True,3,4,-7.8909058327272845,RUS
49,125.16,133.0,9017.28,7967.0,3.68,0.0,False,False,3,4,-7.840000000000003,RUS
50,125.0,131.2749952,8986.0,7894.1185472,4.0,0.0,False,False,3,4,-6.274995200000006,RUS
51,123.82142902857143,129.0,9205.214200685714,7798.0,19.91070811428571,0.0,False,False,3,4,-5.17857097142857,RUS
52,123.0,126.8499968,9358.0,7821.1125344,31.0,1.0750016,False,False,3,4,-3.8499967999999996,RUS
53,123.9107136,125.0,9416.5892416,7841.0,36.7678528,2.0,False,False,3,4,-1.089286400000006,RUS
54,125.84999862857143,123.89999872,9541.34991177143,7898.7500672,49.04999131428572,18.5000192,False,False,3,4,1.949999908571428,HAM
55,126.0,123.0,9551.0,7946.0,50.0,32.0,False,False,3,4,3.0,HAM
56,132.0,125.6125024,8685.0,8210.90774336,62.0,44.54001152,False,False,3,4,6.387497600000003,HAM
57,135.20833137777777,127.6250016,8804.874926933333,8414.97516224,62.291666488888886,54.20000768,False,False,3,4,7.583329777777763,HAM
58,143.0,128.0,9096.0,8453.0,63.0,56.0,False,False,4,4,15.0,HAM
59,143.9142857142857,132.0,9031.085714285715,8704.0,56.82857142857143,63.0,False,False,4,4,11.914285714285711,HAM
60,147.0,134.08333866666666,8812.0,8738.583421866666,36.0,63.20833386666666,False,False,4,4,12.916661333333337,HAM
61,146.8,141.54167466666667,8798.7,8862.391799466666,32.4,63.95416746666667,False,False,4,4,5.258325333333346,HAM
62,145.0,142.0,8679.0,8870.0,0.0,64.0,True,False,4,4,3.0,HAM
63,142.4,144.0,8751.8,9204.0,0.0,61.0,True,False,4,4,-1.5999999999999943,RUS
64,140.0,145.59643062857143,8819.0,9203.467856457142,0.0,50.88927268571429,True,False,4,4,-5.596430628571426,RUS
65,132.0,147.0,9308.0,9203.0,0.0,42.0,True,False,3,4,-15.0,RUS
66,123.95,146.64166613333333,8881.925,9131.691560533332,0.0,29.0999808,True,False,3,4,-22.691666133333328,RUS
67,118.0,146.03055502222222,8567.0,9010.080449422223,0.0,7.099980800000004,True,False,3,4,-28.030555022222217,RUS
68,113.2,146.0,7899.8,9004.0,0.0,6.0,True,False,3,4,-32.8,RUS
69,110.0,139.60747328151132,7455.0,9144.635587806752,0.0,1.7383155210075394,True,False,3,4,-29.607473281511318,RUS
70,103.2,137.0,7129.45,9202.0,0.0,0.0,True,True,3,4,-33.8,RUS
71,102.0,129.85,7072.0,9013.9,0.0,0.0,True,True,3,4,-27.849999999999994,RUS
72,99.0,124.975,6879.0,8885.65,0.0,0.0,True,True,3,4,-25.974999999999994,RUS
73,95.0,124.0,6518.0,8860.0,0.0,0.0,True,True,3,3,-29.0,RUS
74,94.35714377142857,108.0,6483.607191771429,7593.0,0.0,0.0,True,True,3,3,-13.642856228571432,RUS
75,92.08571428571429,107.76,6362.085714285714,7571.12,0.0,0.0,True,True,3,3,-15.674285714285716,RUS
76,91.0,102.0,6304.0,7046.0,0.0,0.0,True,True,3,3,-11.0,RUS
77,87.93333333333334,100.15,6090.1,6789.775,0.0,0.0,True,True,3,3,-12.216666666666669,RUS
78,87.0,100.0,6025.0,6769.0,0.0,0.0,True,True,3,3,-13.0,RUS
79,85.8281256,98.24,6042.9687408,6683.64,0.0,0.0,True,True,3,3,-12.411874399999988,RUS
80,84.15,96.0,6068.7,6575.0,0.0,0.0,True,True,3,3,-11.849999999999994,RUS
81,84.0,91.8125,6071.0,6451.05,0.0,0.0,False,True,3,3,-7.8125,RUS
82,80.0,91.0,6071.0,6427.0,0.0,0.0,False,True,3,3,-11.0,RUS
83,80.67499904,88.0,6135.34990848,6121.0,6.9749900799999995,0.0,False,False,3,3,-7.325000959999997,RUS
84,81.57499904,85.46499712,6221.14990848,6142.125024,16.27499008,0.0,False,False,3,3,-3.8899980800000122,RUS
85,83.0,85.0,6357.0,6146.0,31.0,0.0,False,False,3,3,-2.0,RUS
