Point_Index,VER_Speed,NOR_Speed,Speed_Gap_kmh,Speed_Gap_Advantage,VER_Distance,NOR_Distance,Distance_Difference,VER_RPM,NOR_RPM,VER_nGear,NOR_nGear,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_DRS,NOR_DRS
0,274.1937504,276.7125024,-2.5187520000000063,NOR,-0.01076194533613184,0.21487859842859358,0.22564054376472542,10928.0,11021.546956,7,7,100.0,99.0,False,False,0,0
1,275.0,277.4624992,-2.4624992000000248,NOR,9.862777777777776,4.860451873201811,5.002325904575965,10928.0,11046.859348,7,7,100.0,99.0,False,False,0,0
2,279.6149567849231,278.0,1.6149567849230948,VER,28.479603354185492,8.195,20.284603354185492,11094.797723797934,11065.0,7,7,100.0,99.0,False,False,0,0
3,282.0,280.0,2.0,VER,38.1411111111111,23.750555555555557,14.390555555555544,11181.0,11185.0,7,7,100.0,99.0,False,False,0,0
4,282.0,280.08500096,1.9149990399999979,VER,44.16642135322152,25.073996113085045,19.09242524013648,11189.341659733333,11190.35506048,7,7,100.0,99.0,False,False,0,0
5,282.0,280.98499968,1.0150003200000128,VER,56.9411111111111,39.12574325810878,17.81536785300232,11207.0,11247.05497984,7,7,100.0,99.0,False,False,0,0
6,287.0,281.0,6.0,VER,76.07444444444442,39.36166666666667,36.71277777777775,11307.0,11248.0,7,7,100.0,99.0,False,False,0,0
7,287.57749952,284.1711923612603,3.4063071587397076,VER,82.25188934813644,56.61490053592716,25.63698881220928,11334.33497728,11346.30696319907,7,7,100.0,99.0,False,False,0,0
8,288.02750144,286.8016684356852,1.2258330043147794,VER,87.07409418791187,71.09608288554927,15.978011302362603,11355.63506816,11427.851721506242,7,7,100.0,99.0,False,False,0,0
9,289.97749952,288.0,1.9774995199999807,VER,108.05382624891413,77.68166666666667,30.372159582247463,11447.93497728,11465.0,7,7,100.0,99.0,False,False,0,0
10,290.0,288.6125008,1.3874991999999793,VER,108.29666666666665,85.54286817418162,22.753798492485032,11449.0,11512.1625616,7,7,100.0,99.0,False,False,0,0
11,292.0,289.0,3.0,VER,124.51888888888887,90.5261111111111,33.99277777777776,11508.0,11542.0,7,7,100.0,99.0,False,False,0,0
12,292.1781256,290.64166613333333,1.5364594666666562,VER,129.14949990381973,106.44927316240158,22.70022674141815,11516.7281544,11565.804158933333,7,7,100.0,99.0,False,False,0,0
13,293.0,291.0,2.0,VER,150.5633333333333,109.92611111111111,40.63722222222219,11557.0,11571.0,7,7,100.0,99.0,False,False,0,0
14,293.80833493333336,291.0,2.808334933333356,VER,158.49380501854034,122.85944444444445,35.63436057409589,11592.970904533333,11636.0,7,7,100.0,99.0,False,False,0,0
15,295.0,291.69999941818185,3.3000005818181535,VER,170.22999999999996,129.11825893059557,41.11174106940439,11646.0,11448.050156218182,7,7,100.0,99.0,False,False,0,0
