Point_Index,VER_Speed,NOR_Speed,VER_RPM,NOR_RPM,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_nGear,NOR_nGear,Speed_Gap_kmh,Speed_Leader
0,274.1937504,276.7125024,10928.0,11021.546956,100.0,99.0,False,False,7,7,-2.5187520000000063,NOR
1,275.0,277.4624992,10928.0,11046.859348,100.0,99.0,False,False,7,7,-2.4624992000000248,NOR
2,279.6149567849231,278.0,11094.797723797934,11065.0,100.0,99.0,False,False,7,7,1.6149567849230948,VER
3,282.0,280.0,11181.0,11185.0,100.0,99.0,False,False,7,7,2.0,VER
4,282.0,280.08500096,11189.341659733333,11190.35506048,100.0,99.0,False,False,7,7,1.9149990399999979,VER
5,282.0,280.98499968,11207.0,11247.05497984,100.0,99.0,False,False,7,7,1.0150003200000128,VER
6,287.0,281.0,11307.0,11248.0,100.0,99.0,False,False,7,7,6.0,VER
7,287.57749952,284.1711923612603,11334.33497728,11346.30696319907,100.0,99.0,False,False,7,7,3.4063071587397076,VER
8,288.02750144,286.8016684356852,11355.63506816,11427.851721506242,100.0,99.0,False,False,7,7,1.2258330043147794,VER
9,289.97749952,288.0,11447.93497728,11465.0,100.0,99.0,False,False,7,7,1.9774995199999807,VER
10,290.0,288.6125008,11449.0,11512.1625616,100.0,99.0,False,False,7,7,1.3874991999999793,VER
11,292.0,289.0,11508.0,11542.0,100.0,99.0,False,False,7,7,3.0,VER
12,292.1781256,290.64166613333333,11516.7281544,11565.804158933333,100.0,99.0,False,False,7,7,1.5364594666666562,VER
13,293.0,291.0,11557.0,11571.0,100.0,99.0,False,False,7,7,2.0,VER
14,293.80833493333336,291.0,11592.970904533333,11636.0,100.0,99.0,False,False,7,7,2.808334933333356,VER
15,295.0,291.69999941818185,11646.0,11448.050156218182,100.0,99.0,False,False,7,7,3.3000005818181535,VER
16,296.14166826666667,294.7909085090909,11247.177218844445,10618.141065309092,100.0,99.0,False,False,7,7,1.3507597575757586,VER
17,297.64166613333333,295.0,10723.177964088889,10562.0,100.0,99.0,False,False,7,7,2.641666133333331,VER
18,298.0,296.54999954285717,10598.0,10477.525024914286,100.0,99.77499977142857,False,False,7,7,1.4500004571428349,VER
19,298.44250048,297.0,10642.250048,10453.0,100.0,100.0,False,False,7,8,1.4425004799999783,VER
20,299.0,297.2312496,10698.0,10463.406232,100.0,99.8843752,False,False,8,8,1.7687503999999876,VER
21,300.2843768,298.3562496,10688.1531112,10514.031232,100.0,99.3218752,False,False,8,8,1.9281272000000058,VER
22,302.0,299.0,10675.0,10543.0,100.0,99.0,False,False,8,8,3.0,VER
23,302.0,300.4624992,10685.687536,10578.8312304,100.0,99.0,False,False,8,8,1.5375007999999752,VER
24,302.0,301.0,10705.0,10592.0,100.0,99.0,False,False,8,8,1.0,VER
25,302.76999936,302.0,10733.48997632,10629.0,100.0,99.0,False,False,8,8,0.7699993599999857,VER
26,304.0,302.8722218666667,10779.0,10650.369435733333,100.0,99.0,False,False,8,8,1.1277781333333223,VER
27,304.90416746666665,304.0,10845.908392533333,10678.0,100.0,99.0,False,False,8,8,0.9041674666666495,VER
28,305.0,304.58499968,10853.0,10705.49498496,100.0,99.0,False,False,8,8,0.4150003199999901,VER
29,306.0,305.38499968,10882.0,10743.09498496,100.0,99.0,False,False,8,8,0.6150003199999787,VER
30,306.55,306.0,10903.45,10772.0,100.0,99.0,False,False,8,8,0.5500000000000114,VER
31,307.0,307.3562496,10921.0,10797.7687424,100.0,99.0,False,False,8,8,-0.3562496000000124,NOR
32,307.0,308.0,10917.5,10810.0,100.0,99.0,False,False,8,8,-1.0,NOR
33,307.0,308.4041664,10906.0,10822.9333248,100.0,99.0,False,False,8,8,-1.4041664000000083,NOR
34,307.15062757472737,308.5708330666667,10909.91631694291,10828.266658133334,100.0,99.0,False,False,8,8,-1.4202054919393277,NOR
35,308.0,309.0,10932.0,10842.0,100.0,99.0,False,False,8,8,-1.0,NOR
36,308.7312496,309.5863639272727,10968.56248,10877.768199563636,100.0,99.0,False,False,8,8,-0.8551143272727018,NOR
37,309.0,309.9500002909091,10982.0,10899.950017745454,100.0,99.0,False,False,8,8,-0.9500002909090881,NOR
38,310.0,310.0,10990.0,10903.0,100.0,99.0,False,False,8,8,0.0,NOR
39,310.26944426666665,310.49433142774876,10997.544439466667,10937.603199942414,100.0,99.0,False,False,8,8,-0.22488716108210838,NOR
40,311.0,311.0,11018.0,10973.0,100.0,99.0,False,False,8,8,0.0,NOR
41,311.06071405714283,311.3562512,11021.460701257143,10973.0,100.0,99.0,False,False,8,8,-0.2955371428571425,NOR
42,311.9178569142857,312.0,11070.317844114286,10973.0,100.0,99.0,False,False,8,8,-0.08214308571427864,NOR
43,312.0,312.0,11075.0,10980.0,100.0,99.0,False,False,8,8,0.0,NOR
44,312.0,312.0,11033.7531384,10985.343768,100.0,99.0,False,False,8,8,0.0,NOR
45,312.0,312.0,11008.0,10995.0,100.0,99.0,False,False,8,8,0.0,NOR
46,312.2374997333333,312.0,11026.049979733334,10992.196429714286,100.0,99.0,False,False,8,8,0.23749973333332264,VER
47,313.0,312.0,11084.0,10990.0,100.0,99.0,False,False,8,8,1.0,VER
48,313.0,311.5895834666667,11070.014275657142,10966.195841066667,100.0,99.0,False,False,8,8,1.4104165333333185,VER
49,313.0,311.2562501333333,11062.0,10946.862507733333,100.0,99.0,False,False,8,8,1.7437498666666897,VER
50,313.0,311.0,11068.105277713956,10932.0,100.0,99.0,False,False,8,8,2.0,VER
51,313.0,310.5093752,11089.157913025225,10921.2062544,100.0,99.0,False,False,8,8,2.4906247999999778,VER
52,313.0,310.0,11100.0,10910.0,100.0,99.0,False,False,8,8,3.0,VER
53,313.0,309.1343752,11191.8374752,10908.2687504,100.0,99.0,False,False,8,8,3.8656247999999778,VER
54,313.0,309.0,11193.0,10908.0,100.0,99.0,False,False,8,8,4.0,VER
55,310.0,308.28412215547684,10970.0,10866.479085017656,100.0,99.0,False,False,8,8,1.7158778445231633,VER
56,309.91499904,308.0,10966.00495488,10850.0,100.0,99.0,False,False,8,8,1.9149990399999979,VER
57,309.0,307.0,10923.0,10746.0,100.0,85.0,False,False,8,8,2.0,VER
58,308.0375008,305.0285696,10905.354181333334,10571.5284096,100.0,47.0499648,False,False,8,8,3.0089311999999495,VER
59,306.0,303.0,10868.0,10392.0,100.0,8.0,False,False,8,8,3.0,VER
60,304.89000192,301.3375018666667,10843.9500416,10680.562176,82.61003008,6.100002133333334,False,False,8,8,3.55250005333329,VER
61,300.0,300.1708352,10738.0,10883.062176,6.0,4.7666688,True,False,8,8,-0.17083519999999908,NOR
62,295.63499136,296.0,10504.95703872,11607.0,4.7874976,0.0,True,True,8,8,-0.365008639999985,NOR
63,284.83499136,293.687504,9928.35703872,11529.531384,1.7874976,0.0,True,True,8,8,-8.852512639999986,NOR
64,282.0,286.0,9777.0,11272.0,1.0,0.0,True,True,8,7,-4.0,NOR
65,267.0,275.0,10322.0,10788.0,0.0,0.0,True,True,8,7,-8.0,NOR
