====================================================================================================
Live Timing 性能分析報告
分析時長: 60 秒
====================================================================================================

         17373907 function calls (17355448 primitive calls) in 60.059 seconds

   Ordered by: cumulative time
   List reduced from 701 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      226    0.059    0.000   82.003    0.363 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\prediction_worker.py:149(_perform_predictions)
     8109    1.099    0.000   55.323    0.007 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\sklearn.py:1745(predict_proba)
16220/8110    0.107    0.000   35.260    0.004 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\core.py:710(inner_f)
     4055    0.048    0.000   33.241    0.008 C:\Users\mike2\OneDrive\Code\F1-data-analyze\CLI_modules\cli\prediction\overtake_prediction\predictor.py:188(predict)
     4054    0.043    0.000   29.742    0.007 C:\Users\mike2\OneDrive\Code\F1-data-analyze\CLI_modules\cli\prediction\overtake_prediction\close_combat_predictor.py:153(predict)
   230382   27.823    0.000   27.823    0.000 {built-in method setItem}
     8110    0.057    0.000   22.956    0.003 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\sklearn.py:1282(predict)
2156/1607    0.060    0.000   22.065    0.014 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
     5424    0.025    0.000   20.106    0.004 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\base_live_mdi.py:149(_handle_snapshot_updated)
      593    0.070    0.000   18.322    0.031 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\threading.py:641(wait)
      226    0.010    0.000   15.720    0.070 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\data_manager.py:2031(_on_predictions_ready)
16698/16556    0.026    0.000   11.097    0.001 {built-in method builtins.next}
    16219    0.030    0.000    9.579    0.001 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\config.py:155(config_context)
    32439    0.052    0.000    9.134    0.000 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\config.py:106(wrap)
     8110    0.698    0.000    7.451    0.001 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\core.py:2540(inplace_predict)
     8110    0.008    0.000    6.504    0.001 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:136(__enter__)
    16219    0.275    0.000    5.931    0.000 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\config.py:115(set_config)
      575    0.009    0.000    5.484    0.010 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\data_manager.py:1840(_on_playback_tick)
     8109    0.013    0.000    5.342    0.001 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:145(__exit__)
