======================================================================
Live Timing 性能分析報告 - PKL 載入 - 2025 Qatar
生成時間: 2025-12-10 12:21:05
======================================================================


📊 累計時間排名 (Top 30)
----------------------------------------------------------------------
Wed Dec 10 12:21:05 2025    reports\profiling\live_timing_load_2025_Qatar_20251210_122103.prof

         2282828 function calls (2245070 primitive calls) in 2.174 seconds

   Ordered by: cumulative time
   List reduced from 7680 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1835/8    0.010    0.000    1.982    0.248 <frozen importlib._bootstrap>:1349(_find_and_load)
   1810/8    0.005    0.000    1.982    0.248 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  4186/17    0.003    0.000    1.979    0.116 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  1733/15    0.004    0.000    1.978    0.132 <frozen importlib._bootstrap>:911(_load_unlocked)
  1501/12    0.003    0.000    1.941    0.162 <frozen importlib._bootstrap_external>:989(exec_module)
  1934/12    0.043    0.000    1.938    0.162 {built-in method builtins.exec}
    799/5    0.001    0.000    1.937    0.387 {built-in method builtins.__import__}
        1    0.000    0.000    1.721    1.721 D:\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\data_manager.py:120(__init__)
        1    0.000    0.000    1.636    1.636 D:\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\data_manager.py:193(_init_win_predictor)
 1935/605    0.002    0.000    1.516    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.849    0.849 D:\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\data_manager.py:36(_lazy_import_predictor)
        1    0.000    0.000    0.842    0.842 D:\OneDrive\Code\F1-data-analyze\CLI_modules\cli\prediction\__init__.py:1(<module>)
        1    0.000    0.000    0.835    0.835 D:\OneDrive\Code\F1-data-analyze\CLI_modules\cli\prediction\fp_q_data_collector.py:1(<module>)
        1    0.000    0.000    0.786    0.786 D:\OneDrive\Code\F1-data-analyze\CLI_modules\cli\prediction\live_win_probability\predictor.py:1938(load_model)
        1    0.000    0.000    0.786    0.786 {built-in method _pickle.load}
        1    0.000    0.000    0.672    0.672 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\__init__.py:1(<module>)
        1    0.000    0.000    0.661    0.661 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\tracker.py:1(<module>)
        1    0.000    0.000    0.660    0.660 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\core.py:1(<module>)
        1    0.000    0.000    0.554    0.554 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\_data_utils.py:1(<module>)
        1    0.000    0.000    0.551    0.551 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\compat.py:1(<module>)
        1    0.000    0.000    0.491    0.491 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\sklearn\__init__.py:1(<module>)
        1    0.000    0.000    0.482    0.482 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\sklearn\base.py:1(<module>)
        1    0.000    0.000    0.480    0.480 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\sklearn\utils\__init__.py:1(<module>)
        1    0.000    0.000    0.469    0.469 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\sklearn\utils\_chunking.py:1(<module>)
        1    0.000    0.000    0.469    0.469 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\sklearn\utils\_param_validation.py:1(<module>)
        1    0.000    0.000    0.467    0.467 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\sklearn\utils\validation.py:1(<module>)
1733/1722    0.002    0.000    0.452    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.430    0.430 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\fastf1\plotting\__init__.py:1(<module>)
  207/202    0.000    0.000    0.418    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.418    0.418 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\sklearn\utils\_array_api.py:1(<module>)




⏱️  總執行時間排名 (Top 30)
----------------------------------------------------------------------
Wed Dec 10 12:21:05 2025    reports\profiling\live_timing_load_2025_Qatar_20251210_122103.prof

         2282828 function calls (2245070 primitive calls) in 2.174 seconds

   Ordered by: internal time
   List reduced from 7680 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  207/202    0.411    0.002    0.417    0.002 {built-in method _imp.create_dynamic}
        1    0.143    0.143    0.143    0.143 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.112    0.112    0.113    0.113 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\core.py:2111(__setstate__)
     1501    0.104    0.000    0.104    0.000 {built-in method marshal.loads}
     1501    0.093    0.000    0.093    0.000 {built-in method _io.open_code}
        2    0.072    0.036    0.072    0.036 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\core.py:3016(load_model)
     6684    0.068    0.000    0.068    0.000 {built-in method nt.stat}
    12385    0.044    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     7574    0.043    0.000    0.081    0.000 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\inspect.py:882(cleandoc)
  1934/12    0.043    0.000    1.938    0.162 {built-in method builtins.exec}
     1501    0.038    0.000    0.038    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.032    0.016    0.032    0.016 {built-in method _wmi.exec_query}
