iter	RMSE
0	9.699866758
1	9.300792745
2	8.883356399
3	8.494157647
4	8.103566116
5	7.740714969
6	7.398651419
7	7.082478546
8	6.771650178
9	6.491250467
10	6.239606749
11	5.973289312
12	5.718639975
13	5.475270759
14	5.248859084
15	5.02334751
16	4.824526401
17	4.632837705
18	4.449727193
19	4.276400807
20	4.105445251
21	3.942251893
22	3.79506963
23	3.655343938
24	3.522645747
25	3.392791352
26	3.270714677
27	3.155076545
28	3.044341016
29	2.94979613
30	2.850223224
31	2.756278881
32	2.669946863
33	2.586749782
34	2.511567745
35	2.440626838
36	2.372757551
37	2.304844561
38	2.24159493
39	2.186761467
40	2.128791534
41	2.083037436
42	2.03660552
43	1.990989709
44	1.948044808
45	1.901032194
46	1.856062258
47	1.822602078
48	1.790278119
49	1.755949368
50	1.727503694
51	1.70122706
52	1.676853284
53	1.643958075
54	1.619946139
55	1.601520979
56	1.579717646
57	1.563322922
58	1.544583391
59	1.530532632
60	1.505288624
61	1.492449257
62	1.474141846
63	1.449806976
64	1.435793681
65	1.426222271
66	1.415720339
67	1.406443495
68	1.394822529
69	1.384960659
70	1.372796099
71	1.354898287
72	1.328149159
73	1.313748775
74	1.288173555
75	1.27487198
76	1.267586196
77	1.260149747
78	1.242029784
79	1.235846707
80	1.214420629
81	1.205127127
82	1.188068413
83	1.180481913
84	1.167209595
85	1.163030822
86	1.159747736
87	1.147676042
88	1.126975575
89	1.115788425
90	1.109375712
91	1.092743447
92	1.086622847
93	1.072433608
94	1.068718576
95	1.063255605
96	1.058692932
97	1.055201403
98	1.03704298
99	1.016812216
100	1.012481081
101	1.002926881
102	1.000752705
103	0.9991341865
104	0.9884208335
105	0.9858648015
106	0.983501773
107	0.9741851154
108	0.9684455267
109	0.9604774248
110	0.9530185433
111	0.9505533395
112	0.9383404429
113	0.9310193322
114	0.9243545941
115	0.9176451246
116	0.9104905265
117	0.9093579154
118	0.9016950479
119	0.8982863842
120	0.8900599192
121	0.8887100599
122	0.8826818705
123	0.8782217149
124	0.8746403563
125	0.8652019944
126	0.8601375943
127	0.8572608861
128	0.8456894517
129	0.8440493668
130	0.8419958132
131	0.8292593274
132	0.8266732002
133	0.8246334074
134	0.8148335068
135	0.8122004976
136	0.8024865381
137	0.7959797782
138	0.7920863678
139	0.7904927387
140	0.7894340342
141	0.781556231
142	0.7779718936
143	0.7756638414
144	0.7691756083
145	0.7595551905
146	0.7541608304
147	0.7532109207
148	0.7473599546
149	0.741843715
150	0.7407650416
151	0.7392633911
152	0.7378713802
153	0.7356774975
154	0.7306348907
155	0.7225294383
156	0.7213071092
157	0.7200848799
158	0.7152000554
159	0.7138351413
160	0.712706372
161	0.7070665357
162	0.7057720098
163	0.7042591622
164	0.6957774029
165	0.6942422131
166	0.6908609697
167	0.6857395503
168	0.6846956706
169	0.6828487996
170	0.6791174185
171	0.6748094832
172	0.6701297696
173	0.6644977092
174	0.6579525323
175	0.6533609018
176	0.6518390226
177	0.6501612245
178	0.64715641
179	0.642178508
180	0.6406485691
181	0.6385288305
182	0.6332105846
183	0.6305028618
184	0.629186186
185	0.6247401171
186	0.6236034552
187	0.6176628424
188	0.6123131832
189	0.6102950464
190	0.605913511
191	0.6043194589
192	0.6029339648
193	0.5972067023
194	0.591741104
195	0.5871164975
196	0.5833094429
197	0.5824444332
198	0.579841358
199	0.5749903792
