iter	Passed	Remaining
0	52	10487
1	55	5445
2	56	3707
3	58	2869
4	60	2350
5	62	2011
6	63	1759
7	66	1587
8	67	1431
9	69	1321
10	71	1232
11	73	1145
12	75	1084
13	76	1019
14	78	968
15	80	920
16	81	882
17	83	841
18	85	816
19	87	784
20	89	758
21	90	735
22	92	711
23	94	690
24	95	670
25	97	653
26	98	633
27	101	620
28	102	604
29	104	591
30	106	579
31	107	564
32	109	553
33	110	540
34	112	531
35	114	520
36	115	509
37	117	502
38	119	492
39	120	483
40	122	476
41	124	468
42	125	459
43	127	452
44	129	445
45	130	436
46	131	429
47	133	422
48	135	416
49	136	410
50	137	403
51	139	397
52	140	391
53	142	385
54	144	380
55	146	375
56	147	370
57	151	369
58	152	364
59	153	359
60	155	355
61	157	350
62	159	346
63	161	342
64	162	338
65	164	333
66	166	331
67	169	328
68	171	325
69	173	322
70	176	320
71	178	317
72	180	313
73	182	310
74	184	307
75	186	304
76	188	300
77	190	297
78	192	295
79	194	292
80	196	288
81	198	285
82	200	282
83	201	278
84	203	275
85	205	272
86	206	268
87	208	265
88	210	262
89	212	259
90	214	256
91	215	253
92	217	249
93	220	248
94	222	245
95	224	243
96	226	240
97	227	237
98	229	234
99	230	230
100	232	227
101	234	225
102	235	222
103	237	219
104	239	216
105	240	213
106	242	210
107	243	207
108	246	205
109	247	202
110	248	199
111	251	197
112	252	194
113	254	191
114	255	188
115	257	186
116	258	183
117	260	180
118	261	178
119	263	175
120	264	172
121	266	170
122	267	167
123	269	165
124	270	162
125	272	160
126	274	157
127	275	155
128	278	153
129	279	150
130	281	148
131	282	145
132	284	143
133	285	140
134	287	138
135	289	136
136	290	133
137	292	131
138	294	129
139	295	126
140	297	124
141	299	122
142	300	119
143	302	117
144	303	115
145	306	113
146	307	110
147	309	108
148	311	106
149	312	104
150	314	102
151	316	99
152	317	97
153	319	95
154	320	93
155	322	90
156	323	88
157	325	86
158	327	84
159	329	82
160	330	80
161	332	77
162	334	75
163	335	73
164	337	71
165	338	69
166	339	67
167	341	65
168	343	62
169	344	60
170	346	58
171	348	56
172	349	54
173	351	52
174	352	50
175	354	48
176	355	46
177	357	44
178	359	42
179	360	40
180	362	38
181	364	36
182	365	33
183	367	31
184	369	29
185	371	27
186	372	25
187	374	23
188	375	21
189	377	19
190	379	17
191	380	15
192	382	13
193	384	11
194	385	9
195	387	7
196	391	5
197	393	3
198	396	1
199	398	0
