
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_RANGE_DEBUG] 左Y軸範圍(溫度): (27.92, 29
.48)
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_RANGE_DEBUG] 邊距: 0.180
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_MDI] 參數更新完成
2025-10-22 23:45:46 | INFO | f1.console | [[RAIN_ANALYSIS] DEBUG] 已有載入請求執行中，忽略新的請求
2025-10-22 23:45:46 | ERROR | f1.console | ⚠️ [RAIN_MODULE] 參數更新失敗
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 56.0
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 56
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 27.920 - 29.480
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG]   間距: 0.260
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG]   標籤數量: 7
2025-10-22 23:45:46 | INFO | f1.console | [RAIN_AXIS_DEBUG] 🎨 自訂座標軸標題繪製
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 56.0
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 56
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 27.920 - 29.480
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   間距: 0.260
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   標籤數量: 7
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 🎨 自訂座標軸標題繪製
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 56.0
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 56
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 27.920 - 29.480
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   間距: 0.260
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   標籤數量: 7
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 🎨 自訂座標軸標題繪製
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 56.0
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 56
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 27.920 - 29.480
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   間距: 0.260
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   標籤數量: 7
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 🎨 自訂座標軸標題繪製
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 56.0
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 56
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 27.920 - 29.480
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   間距: 0.260
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   標籤數量: 7
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 🎨 自訂座標軸標題繪製
2025-10-22 23:45:47 | INFO | f1.console | [[RAIN_ANALYSIS] DEBUG] 成功處理 57 圈天氣數據
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_WEATHER_MDI] 📊 更新圖表數據
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_WEATHER_MDI]    - 組件類型: <class 'mo
dules.gui.rain_analysis.rain_analysis_chart_widget.RainAnalysisChartWidget'>
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_WEATHER_MDI]    - 組件模組: modules.gu
i.rain_analysis.rain_analysis_chart_widget
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_WEATHER_MDI]    - 有 update_data: T
rue
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_WEATHER_MDI]    - 有 set_data: True
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_WEATHER_MDI] ✅ 使用 update_data 方法
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_WEATHER_MDI]    - update_data 方法來源
: <function RainAnalysisChartWidget.update_data at 0x0000022FAFD6B1A0>
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 計算範圍，圖表類型: primary
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 可用數據鍵: ['x_data', 'y1
_data', 'y2_data', 'y1_label', 'y2_label', 'title']
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] X軸範圍(圈數): (1, 57)
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 溫度數據: min=15.100, max
=16.600
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 左Y軸範圍(溫度): (14.875, 1
6.825000000000003)
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 邊距: 0.225
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 57.0
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 57
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
